 ,sensor_id,sensor_x,sensor_y,sensor_z,index_finger,thumb,sensor_status,
43:20.4,1,523.031,547.856,1204.858,657,652,VALID_DATA,枣88
43:26.3,1,584.737,793.875,686.947,647,642,VALID_DATA,枣88
46:11.2,1,548.494,567.544,1256.706,657,652,VALID_DATA,枣89
46:16.3,1,574.819,776.231,746.691,647,642,VALID_DATA,枣89
47:34.7,1,512.681,545.7,1148.925,662,657,VALID_DATA,枣90
47:39.7,1,580.144,751.2,120.879,652,647,VALID_DATA,枣90
47:48.7,1,487.969,565.05,1247.268,667,662,VALID_DATA,枣91
47:55.0,1,405.844,703.65,403.081,657,652,VALID_DATA,枣91
48:54.8,1,498.431,693.056,926.769,677,672,VALID_DATA,枣92
49:00.7,1,532.95,772.181,-224.364,662,657,VALID_DATA,枣92
49:12.6,1,612.337,546.225,1036.123,667,662,VALID_DATA,枣93
49:16.8,1,631.875,485.587,-115.374,657,652,VALID_DATA,枣93
49:28.9,1,509.4,650.587,1082.708,662,657,VALID_DATA,枣94
49:33.1,1,609.45,799.8,166.587,652,647,VALID_DATA,枣94
49:48.3,1,452.306,595.669,1142.784,667,662,VALID_DATA,枣95
49:52.5,1,376.2,732.938,301.169,657,652,VALID_DATA,枣95
50:23.5,1,509.944,650.438,942.499,677,672,VALID_DATA,枣96
50:28.0,1,513.938,681.131,214.472,667,662,VALID_DATA,枣96
50:39.0,1,530.456,646.894,1140.183,677,672,VALID_DATA,枣97
50:44.1,1,478.106,848.794,682.924,667,662,VALID_DATA,枣97
50:53.8,1,493.762,731.362,1111.627,677,672,VALID_DATA,枣98
50:57.5,1,417.788,842.981,573.389,667,662,VALID_DATA,枣98
51:07.9,1,594.825,615.225,1232.446,672,667,VALID_DATA,枣99
51:12.1,1,565.087,811.031,828.759,662,657,VALID_DATA,枣99
51:47.2,1,496.05,510.863,1269.351,672,667,VALID_DATA,枣100
51:52.0,1,519.169,576.844,653.944,662,657,VALID_DATA,枣100
52:14.8,1,466.837,603.938,1075.266,677,672,VALID_DATA,枣101
52:20.5,1,449.625,743.7,291.913,667,662,VALID_DATA,枣101
52:31.4,1,477.469,581.906,1122.638,667,662,VALID_DATA,枣102
52:35.6,1,406.312,653.194,129.167,657,652,VALID_DATA,枣102
55:40.4,1,530.4,424.35,1319.444,642,637,VALID_DATA,葡萄1
56:14.5,1,554.138,493.238,1370.99,632,627,VALID_DATA,葡萄1
56:33.8,1,524.55,438.806,1316.692,647,642,VALID_DATA,葡萄2
56:45.3,1,472.556,519.319,1300.871,632,627,VALID_DATA,葡萄2
58:28.8,1,520.763,384.319,1292.129,642,637,VALID_DATA,葡萄3
58:35.9,1,461.344,445.087,1400.333,627,622,VALID_DATA,葡萄3
59:08.1,1,541.481,472.031,1324.133,637,632,VALID_DATA,葡萄4
59:16.4,1,575.606,629.156,1287.985,622,617,VALID_DATA,葡萄4
59:36.9,1,515.006,424.031,1330.183,642,637,VALID_DATA,葡萄5
59:41.7,1,528.019,578.438,1286.109,632,627,VALID_DATA,葡萄5
00:00.7,1,540.3,504.619,1362.793,637,632,VALID_DATA,葡萄6
00:08.9,1,497.306,605.925,1323.468,622,617,VALID_DATA,葡萄6
00:56.1,1,511.144,449.887,1336.475,642,637,VALID_DATA,葡萄7
00:59.8,1,518.306,509.156,1366.816,632,627,VALID_DATA,葡萄7
01:06.9,1,515.775,383.137,1380.398,642,637,VALID_DATA,葡萄8
01:10.8,1,535.894,446.944,1413.825,632,627,VALID_DATA,葡萄8
01:24.9,1,486.038,350.175,1351.57,647,642,VALID_DATA,葡萄9
01:28.5,1,480.769,454.125,1361.28,637,632,VALID_DATA,葡萄9
01:39.2,1,508.125,381.844,1338.502,642,637,VALID_DATA,葡萄10
01:43.7,1,508.837,457.762,1416.063,632,627,VALID_DATA,葡萄10
01:59.4,1,496.275,396,1329.881,642,637,VALID_DATA,葡萄11
02:03.9,1,527.25,493.556,1346.791,632,627,VALID_DATA,葡萄11
02:56.3,1,534.019,421.444,1393.315,637,632,VALID_DATA,葡萄12
02:59.9,1,527.775,386.494,1478.56,627,622,VALID_DATA,葡萄12
03:14.4,1,517.875,388.519,1320.957,642,637,VALID_DATA,葡萄13
03:18.0,1,513.3,464.981,1377.131,632,627,VALID_DATA,葡萄13
03:31.1,1,498.844,369,1316.42,647,642,VALID_DATA,葡萄14
03:34.5,1,540.394,437.512,1390.955,637,632,VALID_DATA,葡萄14
06:04.0,1,545.7,383.512,1310.097,627,622,VALID_DATA,葡萄15
06:10.2,1,553.969,429.9,1387.477,617,612,VALID_DATA,葡萄15
06:25.3,1,525.225,379.144,1310.702,632,627,VALID_DATA,葡萄16
06:41.6,1,553.462,479.344,1363.488,617,612,VALID_DATA,葡萄16
06:52.5,1,523.669,379.2,1311.458,627,622,VALID_DATA,葡萄17
06:59.5,1,543.731,444.825,1375.135,617,612,VALID_DATA,葡萄17
07:18.7,1,559.35,431.363,1334.539,622,617,VALID_DATA,葡萄18
07:23.3,1,556.837,478.462,1374.137,612,607,VALID_DATA,葡萄18
07:32.8,1,550.894,365.269,1355.049,622,617,VALID_DATA,葡萄19
07:39.1,1,511.238,425.194,1464.765,607,602,VALID_DATA,葡萄19
09:31.9,1,555.375,457.669,1386.267,632,627,VALID_DATA,葡萄20
09:36.6,1,580.931,542.362,1413.341,622,617,VALID_DATA,葡萄20
10:24.3,1,535.65,450.9,1340.408,642,637,VALID_DATA,葡萄21
10:28.9,1,560.288,543.675,1306.528,632,627,VALID_DATA,葡萄21
10:45.2,1,556.575,467.044,1338.472,637,632,VALID_DATA,葡萄22
10:55.0,1,573.75,577.519,1290.525,627,622,VALID_DATA,葡萄22
11:08.5,1,559.556,485.906,1331.756,637,632,VALID_DATA,葡萄23
11:16.4,1,557.044,578.306,1295.456,622,617,VALID_DATA,葡萄23
11:31.1,1,555.75,454.819,1361.583,622,617,VALID_DATA,葡萄24
11:35.1,1,526.087,500.906,1384.3,612,607,VALID_DATA,葡萄24
11:44.3,1,562.781,445.837,1355.714,622,617,VALID_DATA,葡萄25
11:49.3,1,573.975,504.506,1396.552,612,607,VALID_DATA,葡萄25
12:00.8,1,567.263,457.556,1408.198,617,612,VALID_DATA,葡萄26
12:04.5,1,552.656,525.356,1430.008,607,602,VALID_DATA,葡萄26
12:34.9,1,525.769,469.181,1350.027,627,622,VALID_DATA,葡萄27
12:40.5,1,530.344,524.794,1344.461,617,612,VALID_DATA,葡萄27
13:24.9,1,551.925,392.363,1306.619,617,612,VALID_DATA,葡萄28
13:31.3,1,567.881,447.562,1378.251,607,602,VALID_DATA,葡萄28
13:45.4,1,549.469,387.581,1293.369,617,612,VALID_DATA,葡萄29
13:49.0,1,564.844,417.806,1336.233,607,602,VALID_DATA,葡萄29
14:15.6,1,560.006,414.038,1305.892,622,617,VALID_DATA,葡萄30
14:19.6,1,558.806,483.45,1322.076,612,607,VALID_DATA,葡萄30
14:34.1,1,564.019,380.831,1308.373,612,607,VALID_DATA,葡萄31
14:38.0,1,566.25,429.712,1373.199,602,597,VALID_DATA,葡萄31
15:10.1,1,522.281,409.837,1321.986,642,637,VALID_DATA,葡萄32
15:14.4,1,540.806,488.7,1348.968,632,627,VALID_DATA,葡萄32
17:01.3,1,517.181,435.713,1335.961,637,632,VALID_DATA,葡萄33
